"code","hex","label"
11,"#5475A8","Open Water"
12,"#FFFFFF","Perennial Ice/Snow"
21,"#E8D1D1","Developed, Open Space"
22,"#E29E8C","Developed, Low Intensity"
23,"#FF0000","Developed, Medium Intensity"
24,"#B50000","Developed, High Intensity"
31,"#D2CDC0","Barren Land (Rock/Sand/Clay)"
41,"#85C77E","Deciduous Forest"
42,"#38814E","Evergreen Forest"
43,"#38814E","Mixed Forest"
51,"#AF963C","Dwarf Scrub"
52,"#DCCA8F","Scrub/Shrub"
71,"#FDE9AA","Grassland/Herbaceous"
72,"#D1D182","Sedge/Herbaceuous"
73,"#A3CC51","Lichens"
74,"#82BA9E","Moss"
81,"#FBF65D","Pasture/Hay"
82,"#CA9146","Cultivated Crops"
90,"#C8E6F8","Woody Wetlands"
95,"#64B3D5","Emergent Herbaceous Wetlands"
